id,en,it,source,context
body.404.button.1,Search,,404.html,<button>
body.404.h1.1,Oops! Page Not Found,,404.html,<h1>
body.404.h3.1,Can't find what you're looking for?,,404.html,<h3>
body.404.h3.2,Popular Destinations,,404.html,<h3>
body.404.h4.1,Products,,404.html,<h4>
body.404.h4.2,Resources,,404.html,<h4>
body.404.p.1,Looks like this page got lost in the cloud! Don't worry though - our platform is still here to help you build amazing things.,,404.html,<p>
body.404.ui.1,Go Home,,404.html,class
body.404.ui.2,Explore Products,,404.html,class
body.404.ui.3,Get Help,,404.html,class
body.about.h1.1,About Elemento,,about.html,<h1>
body.about.h2.1,Our Mission,,about.html,<h2>
body.about.h2.2,Our Values,,about.html,<h2>
body.about.h2.3,Meet Our Team,,about.html,<h2>
body.about.h2.4,Our Journey,,about.html,<h2>
body.about.h2.5,Join Our Mission,,about.html,<h2>
body.about.h3.1,Innovation at Scale,,about.html,<h3>
body.about.h3.10,Strategic use cases,,about.html,<h3>
body.about.h3.11,Seed round & equity,,about.html,<h3>
body.about.h3.12,IMSA & global ecosystem,,about.html,<h3>
body.about.h3.13,Scale-up & federated cloud,,about.html,<h3>
body.about.h3.2,Freedom & Control,,about.html,<h3>
body.about.h3.3,Cost Efficiency,,about.html,<h3>
body.about.h3.4,Sustainability,,about.html,<h3>
body.about.h3.5,Performance,,about.html,<h3>
body.about.h3.6,Security,,about.html,<h3>
body.about.h3.7,Partnership,,about.html,<h3>
body.about.h3.8,Founded in Cuneo,,about.html,<h3>
body.about.h3.9,Modular platform & OS,,about.html,<h3>
body.about.li.1,Home,,about.html,<li>
body.about.li.2,About,,about.html,<li>
body.about.p.1,"Learn about our mission , values , and the innovative team powering the future of cloud computing.",,about.html,<p>
body.about.p.10,Building trust through robust security measures and compliance with industry standards and regulations.,,about.html,<p>
body.about.p.11,Working closely with our customers to understand their needs and provide tailored solutions that drive success.,,about.html,<p>
body.about.p.12,The experts behind Elemento's innovative cloud platform,,about.html,<p>
body.about.p.13,"Milestones and equity history aligned with our public profile on Crunchbase (founded 2021, headquartered in Cuneo, Italy).",,about.html,<p>
body.about.p.14,"Elemento Modular Cloud is established as an Italian startup in Cuneo, Piedmont—with a mission to make advanced private and public cloud infrastructure approachable while keeping data firmly under customer control. Explore our product lineup and technology story .",,about.html,<p>
body.about.p.15,"We concentrate engineering on the Elemento stack: a modular data-and-compute architecture, intuitive proprietary software, and AtomOS -driven on-premise and appliance deployments—so organizations can run cloud-grade stacks without hyperscaler lock-in.",,about.html,<p>
body.about.p.16,"We sharpen go-to-market around high-impact trajectories called out in innovation-cluster and ecosystem profiles: IoT, AI, blockchain & Web3, advanced computing, and polished UX—spanning smart infrastructure, industry, fintech, healthcare, education, and digital public services.",,about.html,<p>
body.about.p.17,"We close our seed financing (March 2024), with Fin+Tech as lead investor and additional institutional participation; round size is summarized on aggregators and on Crunchbase . Our commercial model—hardware and software, support plans, and network resource exchange—scales alongside that capital. Open engineering continues on GitHub .",,about.html,<p>
body.about.p.18,"We were named among the 18 finalists of the Italian Master Startup Award (IMSA) 2025 , presented during Italian Tech Week in Turin (October 2025). Press coverage highlighted enterprise traction, collaboration with partners such as Dell Technologies , participation in the NVIDIA Inception program, and support from CDP and the Fin+Tech accelerator.",,about.html,<p>
body.about.p.19,"We extend federation, automation, and sustainable compute : deeper multi-cloud and hybrid operations, broader partner and provider integrations, and the next wave of security and orchestration—so customers keep full data ownership without hyperscaler lock-in. Updated funding and company facts remain on Crunchbase .",,about.html,<p>
body.about.p.2,"At Elemento , we believe that cloud infrastructure should be accessible , affordable , and environmentally responsible . Our mission is to democratize cloud computing by providing vendor-neutral solutions that give organizations complete control over their infrastructure while reducing costs and environmental impact. Explore our complete product suite and learn about our innovative technology .",,about.html,<p>
body.about.p.20,Ready to transform your infrastructure with Elemento? Let's build the future of cloud computing together.,,about.html,<p>
body.about.p.3,"We're building the future of cloud computing - one that prioritizes performance , cost-effectiveness , and sustainability without compromising on enterprise-grade security and reliability. Read about our latest innovations on our blog and get in touch to learn more.",,about.html,<p>
body.about.p.4,Pioneering the next generation of cloud infrastructure with cutting-edge technology and sustainable practices. Discover our technical innovations and product capabilities .,,about.html,<p>
body.about.p.5,The principles that guide everything we do at Elemento,,about.html,<p>
body.about.p.6,"We believe in vendor neutrality and giving organizations complete control over their infrastructure. No lock-in, no restrictions.",,about.html,<p>
body.about.p.7,Making cloud computing affordable for organizations of all sizes through intelligent optimization and transparent pricing.,,about.html,<p>
body.about.p.8,Committed to reducing the environmental impact of cloud computing through green technology and energy optimization.,,about.html,<p>
body.about.p.9,Delivering enterprise-grade performance and reliability without compromising on speed or scalability.,,about.html,<p>
body.about.ui.1,Our Story. Our Mission. Our passion.,,about.html,class
body.about.ui.2,Learn about our mission,,about.html,class
body.about.ui.3,Meet the cloudnauts!,,about.html,class
body.about.ui.4,Explore Our Solutions,,about.html,class
